date,day,average_blinks
2024-06-29,Saturday,1
2024-06-30,Sunday,1
2024-07-01,Monday,1
2024-07-02,Tuesday,1
2024-07-03,Wednesday,14
2024-07-04,Thursday,12
2024-07-05,Friday,16
2024-07-06,Saturday,17
2024-07-07,Sunday,20
2024-07-08,Monday,19
2024-07-09,Tuesday,21
2024-07-10,Wednesday,16
2024-07-11,Thursday,18
2024-07-12,Friday,19
2024-07-13,Saturday,16
2024-07-15,Monday,16
2024-07-16,Tuesday,21
2024-07-20,Saturday,19
2024-07-24,Wednesday,21
